id,claim,source,locator,support,confidence,caveat
S-11,"'Temperature' is borrowed from the statistical-mechanics Boltzmann distribution, p_i proportional to exp(-E_i/(kT)): high T flattens the distribution over states, low T concentrates it on the lowest-energy state. Softmax-with-temperature has the same structure, with a logit playing the role of a negative energy.","Standard statistical mechanics (Boltzmann distribution)","General physics identity, independently verifiable in any statistical-mechanics reference.","inference","high","Not attributed to S1 or S2 in this repository's source set; this etymology has not been independently confirmed as explicitly stated in either video."
S-12,"A neuron or unit computes a weighted sum of its inputs plus a bias, then applies a nonlinearity; a layer is a set of such units computed from the same inputs. Deep learning's general premise is to build a complex function from many small, tunable, differentiable pieces like this, layered together, and let training adjust the parameters.","3Blue1Brown, ""Transformers, the tech behind LLMs""","Video, ~7:20, ""the premise of deep learning""","direct","high","Timestamp reused from this repository's already-approved source list; not independently re-verified against the live video in this session (same open gap as S-04/S-05/S-07/S-08, tracked as G1)."
S-13,"A single unit with a weighted-sum-plus-bias pre-activation, a logistic-sigmoid nonlinearity, and cross-entropy loss is mathematically identical in functional form to binary logistic regression; for this composition the gradient of the loss with respect to the pre-activation simplifies to (y-hat minus y).","Mathematical identity","Verified numerically by scripts/check_neuron_example.py","direct","high","Purely mathematical; not attributed to a video source."
S-14,"Backpropagation computes the gradient of the loss with respect to every parameter via the chain rule in one backward sweep; it does not, by itself, change any parameter. A separate optimizer step (e.g. plain gradient descent, or a more sophisticated rule such as Adam) uses those gradients to update the parameters.","Mathematical identity / standard definition","Correction CC5 (adopted at external review); verified numerically by scripts/check_neuron_example.py","inference","high","Distinguishes two logically separate steps sometimes conflated in casual description; standard in any optimization or deep-learning reference."
S-15,"Composing affine layers (weighted sum plus bias), with no nonlinearity, yields a function that is itself affine in the input regardless of depth; a nonlinear activation breaks that restriction and allows a multi-layer network to represent nonlinear relationships an affine model cannot.","Mathematical identity","Linear algebra: composition of affine maps is affine.","direct","high","Reworded 2026-09-15 from 'linear' to 'affine' because the lesson's layers carry biases."
S-16,"Vaswani et al., Table 1, reports for a Recurrent layer: complexity per layer O(n times d-squared), a minimum of O(n) sequential operations, and a maximum path length of O(n), where n is sequence length and d is representation dimension. Section 1 states that this sequential dependency 'precludes parallelization within training examples.' For a toy chain of n=8 positions, the maximum path length between the two most distant positions is 7 sequential steps and processing the sequence once requires 8 sequential steps -- this course's own concrete instantiation of the paper's O(n) bound, not a number stated by the paper itself.","Vaswani et al., ""Attention Is All You Need"" (arxiv.org/abs/1706.03762, v7, 2023-08-02)","Section 1 (paragraph 2) and Section 4 (""Why Self-Attention""), Table 1, Recurrent row","direct","high","Verified directly against the live paper (PDF) on 2026-09-14. The n=8 concrete figures are this course's own arithmetic instantiation of the stated asymptotic bound, checked by scripts/check_transformer_path_lengths.py."
S-17,"Vaswani et al., Table 1, reports for a Self-Attention layer: complexity per layer O(n-squared times d), O(1) sequential operations, and O(1) maximum path length -- a self-attention layer connects any two positions with a constant number of sequentially executed operations, independent of their distance. Section 4 states the reason path length matters: 'The shorter these paths between any combination of positions in the input and output sequences, the easier it is to learn long-range dependencies.' The O(n-squared times d) figure is self-attention's arithmetic cost per layer, not a claim about any particular implementation's memory use.","Vaswani et al., ""Attention Is All You Need""","Section 4 (""Why Self-Attention""), Table 1, Self-Attention row, and the paragraph following the three desiderata","direct","high","Verified directly against the live paper (PDF) on 2026-09-14; the Section 4 'shorter these paths' sentence verified verbatim against the arXiv HTML (v7) on 2026-09-14. The n=8 concrete figures are this course's own arithmetic instantiation, checked by scripts/check_transformer_path_lengths.py. No implementation-memory claim is made from this row; FlashAttention and similar techniques are out of scope for this batch (see docs/decisions.md). Under causal masking the constant path holds for every permitted (earlier-to-later) pair, which is what an autoregressive model needs."
S-18,"The quadratic-in-sequence-length arithmetic cost of standard dense self-attention (S-17) is a real and frequently-cited limitation, and has motivated a range of alternative approaches -- for example sparse or local attention patterns, linear-attention variants, and state-space models -- as an active area of ongoing research. This course does not evaluate or endorse any specific alternative.","General field characterization","Editorial synthesis, not tied to one paper or video","inference","medium","Deliberately generic and unattributed to a specific source, to avoid an unsupported priority ('first') claim or citing a technique (e.g. FlashAttention) not otherwise used or verified in this batch."
S-19,"An LLM is the trained model; a transformer is a specific neural-network architecture; inside each transformer block, self-attention is one mechanism (it moves information between positions) and a feed-forward/MLP layer is another (it performs per-position nonlinear computation) -- two distinct components of the same repeating block.","3Blue1Brown, ""Transformers, the tech behind LLMs""; Vaswani et al., ""Attention Is All You Need""","3Blue1Brown video ~3:03, ""inside a transformer""; Vaswani et al. Section 3.1 (""The first is a multi-head self-attention mechanism, and the second is a simple, position-wise fully connected feed-forward network"")","direct","high","The Vaswani locator was verified directly against the live paper (PDF) on 2026-09-14. The 3Blue1Brown timestamp is reused from the existing source list and carries the same open-gap caveat as G1."
S-20,"Transformer prevalence for large language models was not caused by one property or one paper; it emerged from the combination of the architectural advantages (S-16, S-17, S-23), the original design's reported empirical success (S-21), and subsequent empirical successes in pretraining and transfer (S-24), scaling (S-25), and in-context behavior (S-26). Software and hardware stacks increasingly supporting transformer training and deployment is an observation about the field, not a result from any one source.","General field characterization / editorial synthesis","Synthesis of the cited primary sources; the ecosystem sentence is unattributed","inference","medium","Rewritten 2026-09-15; an earlier version framed this as an 'investment flywheel', which was too causal and too confident. No inevitability claim; no 'first' claim; path dependence and ecosystem lock-in are not quantified."
S-21,"Vaswani et al. state that the dominant sequence-transduction models of the time were 'based on complex recurrent or convolutional neural networks', that recurrent networks -- 'long short-term memory and gated recurrent neural networks in particular' -- had been 'firmly established as state of the art approaches in sequence modeling and transduction problems', and that the Transformer was 'superior in quality while being more parallelizable and requiring significantly less time to train' on the two machine-translation tasks reported.","Vaswani et al., ""Attention Is All You Need"" (arxiv.org/abs/1706.03762, v7, 2023-08-02)","Abstract (sentences 1 and 4); Section 1, paragraph 1","direct","high","Verified verbatim against the arXiv HTML (v7) on 2026-09-14. The quality claim is the paper's own reported result on its two translation tasks, not a general ranking of architectures."
S-22,"In the Transformer decoder, self-attention is masked so that a position cannot attend to subsequent (future) positions, preserving the auto-regressive property; the lesson restates this as 'a position can attend to itself and earlier positions, but not future positions.'","Vaswani et al., ""Attention Is All You Need""","Section 3.2.3 (""Applications of Attention in our Model""), decoder self-attention paragraph; implementation described as masking out (setting to minus infinity) the illegal connections in the softmax input","direct","high","Verified against the arXiv HTML (v7) on 2026-09-14. Stated in the paper's own 'subsequent positions' terms; no strict-versus-inclusive indexing claim is made."
S-23,"Vaswani et al. state that dot-product attention 'can be implemented using highly optimized matrix multiplication code' and that the Transformer architecture 'allows for significantly more parallelization' than recurrent models.","Vaswani et al., ""Attention Is All You Need""","Section 3.2.1 (""Scaled Dot-Product Attention""); Section 1, final paragraph","direct","high","Verified verbatim against the arXiv HTML (v7) on 2026-09-14. This row replaces an earlier unsourced statement that GPUs and TPUs were 'built specifically' for such operations; no hardware-design claim is made."
S-24,"BERT pretrains deep bidirectional Transformer representations from unlabeled text, and the pretrained model 'can be fine-tuned with just one additional output layer to create state-of-the-art models for a wide range of tasks, such as question answering and language inference, without substantial task-specific architecture modifications.'","Devlin et al., ""BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding"" (arxiv.org/abs/1810.04805, v2, 2019-05-24)","Abstract","direct","high","Verified verbatim against the arXiv abstract page on 2026-09-15. Used only for the pretraining-and-transfer layer of the 'why prevalent' explanation; BERT is an encoder model, not an autoregressive language model."
S-25,"Kaplan et al. report that language-model loss 'scales as a power-law with model size, dataset size, and the amount of compute used for training, with some trends spanning more than seven orders of magnitude', and that other architectural details such as width or depth 'have minimal effects within a wide range.'","Kaplan et al., ""Scaling Laws for Neural Language Models"" (arxiv.org/abs/2001.08361, v1, 2020-01-23)","Abstract","direct","high","Verified verbatim against the arXiv abstract page on 2026-09-15. An empirical regularity over the studied range and setup, not a law of nature; the lesson says 'improved systematically with scale', not 'predictably forever'."
S-26,"Brown et al. report that 'scaling up language models greatly improves task-agnostic, few-shot performance'; GPT-3 is 'an autoregressive language model with 175 billion parameters', and 'for all tasks, GPT-3 is applied without any gradient updates or fine-tuning, with tasks and few-shot demonstrations specified purely via text interaction with the model.'","Brown et al., ""Language Models are Few-Shot Learners"" (arxiv.org/abs/2005.14165, v4, 2020-07-22)","Abstract","direct","high","Verified verbatim against the arXiv abstract page on 2026-09-15. Correction CC2 applies: in-context behavior is described as observed task performance from demonstrations in the input, not as thinking or learning in the human sense."
